reit_name,period_end,debt_type,lender_or_underwriter,principal_mn_krw,all_in_rate_pct,coupon_or_base_rate_pct,upfront_fee_pct,borrowing_or_issue_date,maturity_date,fixed_rate_or_index,collateral_asset,source_document,source_confidence
SK리츠,2026-03-31,회사채,삼성증권,10000,4.41,4.33,0.25,2024-02-28,2027-02-26,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,한국투자증권,85000,4.27,4.0,0.54,2024-05-22,2026-05-22,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,KB증권,5000,4.27,4.0,0.54,2024-05-22,2026-05-22,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,대신증권,5000,4.27,4.0,0.54,2024-05-22,2026-05-22,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,한국투자증권,85000,3.57,3.43,0.27,2024-10-04,2026-10-02,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,NH투자증권,5000,3.57,3.43,0.27,2024-10-04,2026-10-02,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,삼성증권,14000,3.69,3.51,0.53,2024-10-04,2027-10-01,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,신한투자증권,18000,3.69,3.51,0.53,2024-10-04,2027-10-01,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,에스케이증권,18000,3.69,3.51,0.53,2024-10-04,2027-10-01,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,대신증권,5000,3.69,3.51,0.53,2024-10-04,2027-10-01,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,KB증권,5000,3.69,3.51,0.53,2024-10-04,2027-10-01,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,한국투자증권,97500,3.56,3.32,0.47,2025-02-20,2027-02-19,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
SK리츠,2026-03-31,회사채,NH투자증권,32500,3.56,3.32,0.47,2025-02-20,2027-02-19,고정,해당없음,투자보고서 2026.06.30 pp.21-22,high_disclosed_table
