building_id,asset_id,building_name,building_address,building_register_id,gross_floor_area_m2,main_use,structure_type,completion_year,floor_count,building_standard_value,building_standard_value_year,calculation_source,fire_risk_category,fire_tax_multiplier,urban_area_status,source_url,source_page,validation_status,source_type,source_document_name,source_document_date,source_quote_or_evidence,retrieved_at,source_hash,source_reliability,reviewer_status,building_standard_value_nature,property_tax_base_method,fire_resource_tax_base_method,fire_tax_multiplier_status,fire_tax_evidence_source_url,fire_tax_evidence_page,fire_tax_evidence_quote
365550-ESR-001-B001,365550-ESR-001,Goyang Logistics Park,"570, Gwonyul-daero, Deogyanggu (701, Wonheung-dong), Goyang-si, Gyeonggi-do",,199678,logistics,,2019.01,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/a2cad066-246a-53a3-8d22-4599e0639edc,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Goyang Logistics Park / GFA 199678 sqm / completion 2019.01,2026-07-15T05:46:59.489143+00:00,5d27d6f25398f2311420002e0f2e40978ec76128e7a838bf6b7b937c871e71e5,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-002-B001,365550-ESR-002,Bucheon Cold Logistics Park,"112, Sinheung-ro 511beon-gil (801, Ojeong-dong), Bucheon-si, Gyeonggi-do",,58264,logistics,,2019.07,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/ca9d9b48-f717-5f28-8632-ff4236606f21,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Bucheon Cold Logistics Park / GFA 58264 sqm / completion 2019.07,2026-07-15T05:46:59.489143+00:00,f800a249da4954a8f55114bc86bacdccf44f4063e432d7bf9ca32fd5a88226be,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-003-B001,365550-ESR-003,Icheon Logistics Park 10,"428, Sujeong-ri, Bubal-eup, Icheon-si, Gyeonggi-do",,39503,logistics,,2022.11,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c4443ef2-ef4d-5b93-8a0f-a6dcc8d75a08,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 10 / GFA 39503 sqm / completion 2022.11,2026-07-15T05:46:59.489143+00:00,d4173f2c4b828646108eb2b777daab2a7b52259f8148b05f0d79a54c280d0b59,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-004-B001,365550-ESR-004,Icheon Logistics Park 9,"1235-1, Naechon-ri, Baegsa-myeon, Icheon-si, Gyeonggi-do",,44826,logistics,,2022.08,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c3c30f3a-c07d-5292-877b-02e29fa5055c,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 9 / GFA 44826 sqm / completion 2022.08,2026-07-15T05:46:59.489143+00:00,8e65f179b0d3ed4e5df3d28b6795a32f0d7a195571d47587cd1ba76866624c7a,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-005-B001,365550-ESR-005,Cheonan Logistics Park 1,"153- 4,  Singpoong-ri, Susin-myeon, Dongnam-gu, Cheonan-si, Chungcheongnam-do",,54862,logistics,,2002.12,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c037f166-0ae9-5b87-82b1-53a49e9feb9b,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Cheonan Logistics Park 1 / GFA 54862 sqm / completion 2002.12,2026-07-15T05:46:59.489143+00:00,8b9215c704f1b3edce71050abe599fced50332ac6271cd724a255310dfe7920a,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-006-B001,365550-ESR-006,Icheon Logistics Park 5,"423, Haewol-ri, Majang-myeon, Icheon-si, Gyeonggi-do",,84545,logistics,,2020.02,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/8dfce441-c8e5-5364-8a7f-83d7a7a6a159,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 5 / GFA 84545 sqm / completion 2020.02,2026-07-15T05:46:59.489143+00:00,27b6236ed1d3823460dfb3d248ea0fbce6129dd95dc6554821749daa9f7786f9,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-007-B001,365550-ESR-007,Icheon Logistics Park 6,"250, Joeup-ri, Baeksa-myeon, Icheon-si, Gyeonggi-do",,62195,logistics,,2023.02,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/b58609e3-917a-55d4-8013-d151eda03bbb,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 6 / GFA 62195 sqm / completion 2023.02,2026-07-15T05:46:59.489143+00:00,0d524243915c84ef7c60f73a4a1b0768351e02483bffa62e0d0bf8dce17f6888,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-008-B001,365550-ESR-008,Yongin Logistics Park 1,"120, Deokpyeong-ro (434, Gachang-ri), Baegam-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do",,70028,logistics,,2017.11,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/7ad7ed9b-1568-5a4d-82ce-e479e694c9bd,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 1 / GFA 70028 sqm / completion 2017.11,2026-07-15T05:46:59.489143+00:00,77ac22d5f01def9fc6e5a194493fbc6dbb797085968aa1c97e184d383b7fe06c,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-009-B001,365550-ESR-009,Yongin Logistics Park 2,"271, Yangji-ro (90-7, Yangji-ri), Yangji-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do",,43176,logistics,,2017.01,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/dc5550b3-3412-592b-8562-361e97505c6f,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 2 / GFA 43176 sqm / completion 2017.01,2026-07-15T05:46:59.489143+00:00,d27809bb88db3580c0cbf909a723072eb0881b1965bb38ea80e2473481f78ee7,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-010-B001,365550-ESR-010,Yongin Logistics Park 3 (BRIC),"439, Wonam-ro, Namsa-eup, Cheoin-gu, Yongin-si, Gyeonggi-do",,43045,logistics,,2020.06,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/ef253768-517b-5317-80bd-13e02a5a879f,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 3 (BRIC) / GFA 43045 sqm / completion 2020.06,2026-07-15T05:46:59.489143+00:00,dff5a1618ae464c5eec8b822da764ff2fdd47eb2995905aa0cb33979f61144b5,tier_1_official_reit_website,building_value_open,,,,,,,
